PatentNumber,class,reactants>reagents>production
US09102614B2,,CC(C)(C)[OH:16].CC[C@@H]1CN2CC[C@@H]1C[C@@H]2[C@H](Oc1nnc(O[C@H](c2ccnc3ccc(OC)cc23)[C@H]2C[C@@H]3CCN2C[C@@H]3CC)c2ccccc12)c1ccnc2ccc(OC)cc12.ClCCl.O=S([O-])[O-].[CH3:1][c:2]1[cH:3][c:4]2[cH:5][cH:6][cH:7][cH:8][c:9]2[c:10]([Cl:11])[c:12]1[CH:13]=[CH2:15].[Na+].[Na+].[OH2:14]>>[CH3:1][c:2]1[cH:3][c:4]2[cH:5][cH:6][cH:7][cH:8][c:9]2[c:10]([Cl:11])[c:12]1[C@H:13]([OH:14])[CH2:15][OH:16]
US08791102B2,,O[C:31](=[O:32])[CH2:33][n:34]1[cH:35][cH:36][n:37][n:38]1.[O:1]=[C:2]([NH:3][c:4]1[cH:5][cH:6][c:7]([O:8][c:9]2[cH:10][cH:11][c:12]([F:13])[cH:14][cH:15]2)[cH:16][cH:17]1)[C@@H:18]1[CH2:19][C@@H:20]([CH2:21][c:22]2[cH:23][cH:24][c:25]([Cl:26])[cH:27][cH:28]2)[CH2:29][NH:30]1>>[O:1]=[C:2]([NH:3][c:4]1[cH:5][cH:6][c:7]([O:8][c:9]2[cH:10][cH:11][c:12]([F:13])[cH:14][cH:15]2)[cH:16][cH:17]1)[C@@H:18]1[CH2:19][C@@H:20]([CH2:21][c:22]2[cH:23][cH:24][c:25]([Cl:26])[cH:27][cH:28]2)[CH2:29][N:30]1[C:31](=[O:32])[CH2:33][n:34]1[cH:35][cH:36][n:37][n:38]1
US06723745B2,,CC(C)(C)[O-].CC(C)(C)[O:5][C:3]([NH:2][CH:1](O)[C@H:7]([CH3:6])[CH2:8][CH2:9][c:10]1[cH:11][cH:12][cH:13][s:14]1)=[O:4].CN(C)C=O.O.[K+]>>[CH3:1][N:2]1[C:3](=[O:4])[O:5][CH2:6][C@H:7]1[CH2:8][CH2:9][c:10]1[cH:11][cH:12][cH:13][s:14]1
US07465731B2,,C1CCOC1.O.O=[CH:7][c:8]1[cH:9][n:10][c:11]([NH:12][CH:13]2[CH2:14][CH2:15][N:16]([CH2:17][c:18]3[cH:19][cH:20][cH:21][cH:22][cH:23]3)[CH2:24]2)[n:25][c:26]1[CH3:27].[CH3:1][CH2:2][O:3][C:4](=[O:5])[CH3:6].[H-].[Na+]>>[CH3:1][CH2:2][O:3][C:4](=[O:5])/[CH:6]=[CH:7]/[c:8]1[cH:9][n:10][c:11]([NH:12][CH:13]2[CH2:14][CH2:15][N:16]([CH2:17][c:18]3[cH:19][cH:20][cH:21][cH:22][cH:23]3)[CH2:24]2)[n:25][c:26]1[CH3:27]
US04156692,,CC(=O)OC(C)=O.CCOCC.Cc1ccc(S(=O)(=O)O)cc1.O.O=[C:2]([CH3:1])[CH2:3][C@H:4]1[C@@H:5]([C:6](=[O:7])[OH:8])[C:9]1([CH3:10])[CH3:11].c1ccccc1>>[CH3:1][C:2]1=[CH:3][C@H:4]2[C@@H:5]([C:6](=[O:7])[O:8]1)[C:9]2([CH3:10])[CH3:11]
US06632909B2,,C(=P(c1ccccc1)(c1ccccc1)c1ccccc1)=[CH:8][C:9](=[O:10])[O:11][CH3:12].Cc1ccccc1.O=[CH:7][c:6]1[cH:5][c:4]([O:3][CH2:2][CH3:1])[c:15]([OH:16])[cH:14][cH:13]1>>[CH3:1][CH2:2][O:3][c:4]1[cH:5][c:6](/[CH:7]=[CH:8]/[C:9](=[O:10])[O:11][CH3:12])[cH:13][cH:14][c:15]1[OH:16]
US07893056B2,,C1CCC([O:4][N:3]([CH:2]=[O:1])[CH2:5][C@@H:6]([CH2:7][CH:8]2[CH2:9][CH2:10][CH2:11][CH2:12]2)[C:13](=[O:14])[NH:15][NH:16][c:17]2[n:18][c:19]([Cl:20])[n:21][c:22]([NH:23][CH2:24][CH2:25][c:26]3[cH:27][cH:28][s:29][cH:30]3)[c:31]2[F:32])OC1.CC(=O)O.O>>[O:1]=[CH:2][N:3]([OH:4])[CH2:5][C@@H:6]([CH2:7][CH:8]1[CH2:9][CH2:10][CH2:11][CH2:12]1)[C:13](=[O:14])[NH:15][NH:16][c:17]1[n:18][c:19]([Cl:20])[n:21][c:22]([NH:23][CH2:24][CH2:25][c:26]2[cH:27][cH:28][s:29][cH:30]2)[c:31]1[F:32]
US07358359B2,,C1CCOC1.CCCCCC.CCc1ccc(-c2ccc([C:8](=O)NC(CNCCN)C(=O)NO)cc2)cc1.Cl[Pd](Cl)([P](c1ccccc1)(c1ccccc1)c1ccccc1)[P](c1ccccc1)(c1ccccc1)c1ccccc1.O.O=C(N[O:3][CH2:9][c:10]1[cH:11][cH:12][cH:13][cH:14][cH:15]1)[C@H]1[C@H](O)CCN1[C:2](=[O:1])[c:4]1[cH:5][cH:6][c:7](OC(F)(F)F)[cH:16][cH:17]1.[Cu]I>>[O:1]=[C:2]([OH:3])[c:4]1[cH:5][cH:6][c:7]([C:8]#[C:9][c:10]2[cH:11][cH:12][cH:13][cH:14][cH:15]2)[cH:16][cH:17]1
US06921763B2,,COCCOC.C[c:12]1[n:11][n:10]([C@H:9]2[CH2:8][CH2:7][C@@H:6]([N:5]3[CH2:4][CH2:3][N:2]([CH3:1])[CH2:31][CH2:30]3)[CH2:29][CH2:28]2)[c:27]2[c:21]1[c:22]([NH2:23])[n:24][cH:25][n:26]2.O.O=C([O-])[O-].OB(O)[c:13]1[cH:14][cH:15][c:16]([CH:17]=[O:18])[cH:19][cH:20]1.[Na+].[Na+]>>[CH3:1][N:2]1[CH2:3][CH2:4][N:5]([CH:6]2[CH2:7][CH2:8][CH:9]([n:10]3[n:11][c:12](-[c:13]4[cH:14][cH:15][c:16]([CH:17]=[O:18])[cH:19][cH:20]4)[c:21]4[c:22]([NH2:23])[n:24][cH:25][n:26][c:27]34)[CH2:28][CH2:29]2)[CH2:30][CH2:31]1
US08877744B2,,I[c:13]1[cH:12][c:11]([C@@:9]2([CH3:10])[N:8]=[C:6]([NH2:7])[CH2:5][O:4][C:2]([CH3:1])([CH3:3])[C:24]2([F:25])[F:26])[c:22]([F:23])[cH:21][cH:20]1.[CH:14]#[C:15][Si:16]([CH3:17])([CH3:18])[CH3:19].[Pd]>>[CH3:1][C:2]1([CH3:3])[O:4][CH2:5][C:6]([NH2:7])=[N:8][C@:9]([CH3:10])([c:11]2[cH:12][c:13]([C:14]#[C:15][Si:16]([CH3:17])([CH3:18])[CH3:19])[cH:20][cH:21][c:22]2[F:23])[C:24]1([F:25])[F:26]
US04098904,,Cl[C:6]([c:5]1[cH:4][c:3]([O:2][CH3:1])[c:24]([Cl:25])[cH:23][cH:22]1)=[O:7].[NH2:8][C@@H:9]1[CH2:10][CH2:11][CH2:12][C@H:13]1[N:14]1[CH2:15][CH2:16][CH:17]([O:18][CH3:19])[CH2:20][CH2:21]1>>[CH3:1][O:2][c:3]1[cH:4][c:5]([C:6](=[O:7])[NH:8][C@@H:9]2[CH2:10][CH2:11][CH2:12][C@H:13]2[N:14]2[CH2:15][CH2:16][CH:17]([O:18][CH3:19])[CH2:20][CH2:21]2)[cH:22][cH:23][c:24]1[Cl:25]
US07750145B2,,C(=NC1CCCCC1)=NC1CCCCC1.CN(C)c1ccncc1.ClCCl.O[C:57]([CH2:56]/[CH:55]=[CH:54]/[c:53]1[cH:52][cH:51][c:50]([CH2:49][n:48]2[cH:47][c:7]([C@@H:8]3[O:9][C@H:10]([CH2:11][O:12][CH2:13][c:14]4[cH:15][cH:16][cH:17][cH:18][cH:19]4)[C@@H:20]([O:21][CH2:22][c:23]4[cH:24][cH:25][cH:26][cH:27][cH:28]4)[C@H:29]([O:30][CH2:31][c:32]4[cH:33][cH:34][cH:35][cH:36][cH:37]4)[C@H:38]3[O:39][CH2:40][c:41]3[cH:42][cH:43][cH:44][cH:45][cH:46]3)[c:6]3[cH:5][cH:4][cH:3][c:2]([CH3:1])[c:70]32)[cH:69][cH:68]1)=[O:58].[OH:59][CH2:60][C@@H:61]1[CH2:62][O:63][C:64]([CH3:65])([CH3:66])[O:67]1>>[CH3:1][c:2]1[cH:3][cH:4][cH:5][c:6]2[c:7]([C@@H:8]3[O:9][C@H:10]([CH2:11][O:12][CH2:13][c:14]4[cH:15][cH:16][cH:17][cH:18][cH:19]4)[C@@H:20]([O:21][CH2:22][c:23]4[cH:24][cH:25][cH:26][cH:27][cH:28]4)[C@H:29]([O:30][CH2:31][c:32]4[cH:33][cH:34][cH:35][cH:36][cH:37]4)[C@H:38]3[O:39][CH2:40][c:41]3[cH:42][cH:43][cH:44][cH:45][cH:46]3)[cH:47][n:48]([CH2:49][c:50]3[cH:51][cH:52][c:53](/[CH:54]=[CH:55]/[CH2:56][C:57](=[O:58])[O:59][CH2:60][C@@H:61]4[CH2:62][O:63][C:64]([CH3:65])([CH3:66])[O:67]4)[cH:68][cH:69]3)[c:70]12
US08846657B2,,Cl[Pd]Cl.Cl[c:27]1[n:26][c:24]([Cl:25])[cH:23][c:22]2[n:21][c:8]([N:9]3[CH2:10][CH2:11][O:12][CH2:13][C@H:14]3[c:15]3[cH:16][cH:17][cH:18][cH:19][cH:20]3)[n:7]([CH2:6][C@H:5]3[CH2:4][CH2:3][C@H:2]([CH3:1])[CH2:37][CH2:36]3)[c:35]21.O=C([O-])[O-].OB(O)[c:28]1[cH:29][n:30][cH:31][c:32]([Cl:33])[cH:34]1.[Cs+].[Cs+].[Fe+2].c1ccc(P(c2ccccc2)[c-]2cccc2)cc1.c1ccc(P(c2ccccc2)[c-]2cccc2)cc1>>[CH3:1][C@H:2]1[CH2:3][CH2:4][C@H:5]([CH2:6][n:7]2[c:8]([N:9]3[CH2:10][CH2:11][O:12][CH2:13][C@H:14]3[c:15]3[cH:16][cH:17][cH:18][cH:19][cH:20]3)[n:21][c:22]3[cH:23][c:24]([Cl:25])[n:26][c:27](-[c:28]4[cH:29][n:30][cH:31][c:32]([Cl:33])[cH:34]4)[c:35]23)[CH2:36][CH2:37]1
US07495007B2,,CN(C)c1ccncc1.ClCCl.O([C:6](=[O:7])[O:8][C:9]([CH3:10])([CH3:11])[CH3:12])[C:27](=[O:28])[O:29][C:30]([CH3:31])([CH3:32])[CH3:33].[CH3:1][C:2]([CH3:3])([CH2:4][OH:5])[CH2:13][O:14][c:15]1[cH:16][cH:17][c:18]([Cl:19])[cH:20][c:21]1/[CH:22]=[C:23]1\[C:24](=[O:25])[NH:26][c:34]2[cH:35][c:36]([Cl:37])[cH:38][cH:39][c:40]21>>[CH3:1][C:2]([CH3:3])([CH2:4][O:5][C:6](=[O:7])[O:8][C:9]([CH3:10])([CH3:11])[CH3:12])[CH2:13][O:14][c:15]1[cH:16][cH:17][c:18]([Cl:19])[cH:20][c:21]1/[CH:22]=[C:23]1\[C:24](=[O:25])[N:26]([C:27](=[O:28])[O:29][C:30]([CH3:31])([CH3:32])[CH3:33])[c:34]2[cH:35][c:36]([Cl:37])[cH:38][cH:39][c:40]21
US08680152B2,,CCN=C=NCCCN(C)C.CN1CCOCC1.Cl.Cl.ClCCl.O[C:5](=[O:6])[C@H:7]([CH2:8][C:9]([F:10])([F:11])[CH2:12][CH:13]1[CH2:14][CH2:15]1)[NH:16][C@@H:17]([c:18]1[cH:19][cH:20][c:21]([F:22])[cH:23][cH:24]1)[C:25]([F:26])([F:27])[F:28].On1nnc2ccccc21.[CH3:1][CH2:2][C@H:3]([NH2:4])[CH:29]([OH:30])[C:31](=[O:32])[NH:33][CH:34]1[CH2:35][CH2:36]1>>[CH3:1][CH2:2][C@H:3]([NH:4][C:5](=[O:6])[C@H:7]([CH2:8][C:9]([F:10])([F:11])[CH2:12][CH:13]1[CH2:14][CH2:15]1)[NH:16][C@@H:17]([c:18]1[cH:19][cH:20][c:21]([F:22])[cH:23][cH:24]1)[C:25]([F:26])([F:27])[F:28])[CH:29]([OH:30])[C:31](=[O:32])[NH:33][CH:34]1[CH2:35][CH2:36]1
US07714008B2,,CN(C)c1ccncc1.ClCCl.Cl[S:17](=[O:18])(=[O:19])[c:20]1[cH:21][cH:22][c:23]([C:24]([F:25])([F:26])[F:27])[cH:28][cH:29]1.[O:1]=[C:2]([CH2:3][C@@H:4]([c:5]1[cH:6][cH:7][c:8]([O:9][CH2:10][c:11]2[cH:12][cH:13][cH:14][c:15]([NH2:16])[cH:30]2)[cH:31][cH:32]1)[c:33]1[cH:34][cH:35][o:36][n:37]1)[N:38]1[C:39](=[O:40])[O:41][CH2:42][C@@H:43]1[CH2:44][c:45]1[cH:46][cH:47][cH:48][cH:49][cH:50]1>>[O:1]=[C:2]([CH2:3][C@@H:4]([c:5]1[cH:6][cH:7][c:8]([O:9][CH2:10][c:11]2[cH:12][cH:13][cH:14][c:15]([NH:16][S:17](=[O:18])(=[O:19])[c:20]3[cH:21][cH:22][c:23]([C:24]([F:25])([F:26])[F:27])[cH:28][cH:29]3)[cH:30]2)[cH:31][cH:32]1)[c:33]1[cH:34][cH:35][o:36][n:37]1)[N:38]1[C:39](=[O:40])[O:41][CH2:42][C@@H:43]1[CH2:44][c:45]1[cH:46][cH:47][cH:48][cH:49][cH:50]1
US09440949B2,,C1CCOC1.CCN(C(C)C)C(C)C.C[O:31][C:29]([c:28]1[cH:27][cH:26][cH:25][c:24]([CH2:23][NH2:22])[cH:32]1)=[O:30].Cl.O=C(n1ccnc1)n1ccnc1.O[C:20]([c:19]1[cH:18][n:17][c:16]([N:15]2[CH2:14][CH2:13][CH2:12][C@@H:11]([O:10][c:9]3[c:4]([O:3][CH2:2][CH3:1])[cH:5][cH:6][cH:7][cH:8]3)[CH2:35]2)[n:34][cH:33]1)=[O:21].[K+].[OH-]>>[CH3:1][CH2:2][O:3][c:4]1[cH:5][cH:6][cH:7][cH:8][c:9]1[O:10][C@@H:11]1[CH2:12][CH2:13][CH2:14][N:15]([c:16]2[n:17][cH:18][c:19]([C:20](=[O:21])[NH:22][CH2:23][c:24]3[cH:25][cH:26][cH:27][c:28]([C:29](=[O:30])[OH:31])[cH:32]3)[cH:33][n:34]2)[CH2:35]1
US06891070B2,,CCN(CC)CC.Cc1ccccc1.O=S(Cl)[Cl:1].O[CH2:2][CH2:3][CH:4]([C:5](O)([c:6]1[cH:7][cH:8][cH:9][cH:10][cH:11]1)[c:12]1[cH:13][cH:14][c:15]([O:16][CH2:17][CH2:18][O:19][CH2:20][CH2:21][O:22][CH2:23][c:24]2[cH:25][cH:26][cH:27][cH:28][cH:29]2)[cH:30][cH:31]1)[c:32]1[cH:33][cH:34][cH:35][cH:36][cH:37]1>>[Cl:1][CH2:2][CH2:3]/[C:4](=[C:5](\[c:6]1[cH:7][cH:8][cH:9][cH:10][cH:11]1)[c:12]1[cH:13][cH:14][c:15]([O:16][CH2:17][CH2:18][O:19][CH2:20][CH2:21][O:22][CH2:23][c:24]2[cH:25][cH:26][cH:27][cH:28][cH:29]2)[cH:30][cH:31]1)[c:32]1[cH:33][cH:34][cH:35][cH:36][cH:37]1
US07989634B2,,C1CCOC1.CN(C)c1ccncc1.Cl[C:9]([C:6]([CH2:5][O:4][C:2]([CH3:1])=[O:3])([CH3:7])[CH3:8])=[O:10].[NH:11]([CH:12]1[CH2:13][CH2:14][CH2:15][CH2:16][CH2:17]1)[C@H:18]1[CH2:19][CH2:20][N:21]([C:22](=[O:23])[O:24][CH2:25][c:26]2[cH:27][cH:28][cH:29][cH:30][cH:31]2)[CH2:32]1>>[CH3:1][C:2](=[O:3])[O:4][CH2:5][C:6]([CH3:7])([CH3:8])[C:9](=[O:10])[N:11]([CH:12]1[CH2:13][CH2:14][CH2:15][CH2:16][CH2:17]1)[C@H:18]1[CH2:19][CH2:20][N:21]([C:22](=[O:23])[O:24][CH2:25][c:26]2[cH:27][cH:28][cH:29][cH:30][cH:31]2)[CH2:32]1
US07622492B2,,CC(C)(C)OC(=O)[NH:10][N:11]([c:12]1[cH:13][c:14]([Cl:15])[cH:16][cH:17][c:18]1[Cl:19])[C:20](=[O:21])[CH:22]1[C@@H:4]2[C:2]([CH3:1])([CH3:3])[C@@:7]([CH3:8])([CH2:6][CH2:5]2)[C:9]1=O.ClCCl.O=C(O)C(F)(F)F>>[CH3:1][C:2]1([CH3:3])[C@@H:4]2[CH2:5][CH2:6][C@@:7]1([CH3:8])[c:9]1[nH:10][n:11](-[c:12]3[cH:13][c:14]([Cl:15])[cH:16][cH:17][c:18]3[Cl:19])[c:20](=[O:21])[c:22]12
US06001997,,CCOC(C)=O.CN(C)C=O.Cl[CH2:18][C:19](=[O:20])[CH:21]1[CH2:22][CH2:23][CH2:24][O:25]1.O=C([O-])[O-].[K+].[K+].[O:1]=[C:2]([CH2:3][O:4][c:5]1[cH:6][cH:7][cH:8][cH:9][cH:10]1)[NH:11][C@@H:12]1[C:13](=[O:14])[NH:15][C@@H:16]1[SH:17]>>[O:1]=[C:2]([CH2:3][O:4][c:5]1[cH:6][cH:7][cH:8][cH:9][cH:10]1)[NH:11][C@@H:12]1[C:13](=[O:14])[NH:15][C@@H:16]1[S:17][CH2:18][C:19](=[O:20])[CH:21]1[CH2:22][CH2:23][CH2:24][O:25]1
US09440976B2,,CC(=O)N(C)C.CCOC(C)=O.Cl[c:13]1[cH:14][cH:15][n:16][c:17]2[c:18]1[c:19]1[cH:20][c:21]([C:22]#[N:23])[n:24][cH:25][c:26]1[n:27]2[CH2:28][O:29][CH2:30][CH2:31][Si:32]([CH3:33])([CH3:34])[CH3:35].[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[NH:8][C@H:9]1[CH2:10][CH2:11][NH:12][CH2:36]1>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[NH:8][C@H:9]1[CH2:10][CH2:11][N:12]([c:13]2[cH:14][cH:15][n:16][c:17]3[c:18]2[c:19]2[cH:20][c:21]([C:22]#[N:23])[n:24][cH:25][c:26]2[n:27]3[CH2:28][O:29][CH2:30][CH2:31][Si:32]([CH3:33])([CH3:34])[CH3:35])[CH2:36]1
US03950427,,CC(C)O.CC(C)[O-].CC(C)[O-].CC(C)[O-].[Al+3].[CH3:1]/[C:2](=[CH:3]\[C:4]([CH3:5])=[O:6])[c:19]1[cH:7][cH:8][cH:9][c:10](-[c:11]2[cH:12][cH:13][cH:14][cH:15][cH:16]2)[c:17]1[Cl:18]>>[CH3:1]/[C:2](=[CH:3]\[CH:4]([CH3:5])[OH:6])[c:7]1[cH:8][cH:9][c:10](-[c:11]2[cH:12][cH:13][cH:14][cH:15][cH:16]2)[c:17]([Cl:18])[cH:19]1
US04857650,,CCN(CC)CC.CN(C)C=O.Cl.Cl.O[C:23]([CH:11]([CH2:10][C:8]([N:6]([CH2:5][C:3]([O:2][CH3:1])=[O:4])[CH3:7])=[O:9])[CH2:12][c:13]1[cH:14][cH:15][cH:16][c:17]2[cH:18][cH:19][cH:20][cH:21][c:22]12)=[O:24].[N-]=[N+]=NP(=O)(c1ccccc1)c1ccccc1.[NH2:25][C@@H:26]([CH2:27][c:28]1[cH:29][nH:30][cH:31][n:32]1)[C:33](=[O:34])[NH:35][C@@H:36]([CH2:37][CH:38]([CH3:39])[CH3:40])[CH:41]([OH:42])[C:43](=[O:44])[O:45][CH3:46]>>[CH3:1][O:2][C:3](=[O:4])[CH2:5][N:6]([CH3:7])[C:8](=[O:9])[CH2:10][CH:11]([CH2:12][c:13]1[cH:14][cH:15][cH:16][c:17]2[cH:18][cH:19][cH:20][cH:21][c:22]12)[C:23](=[O:24])[NH:25][C@@H:26]([CH2:27][c:28]1[cH:29][nH:30][cH:31][n:32]1)[C:33](=[O:34])[NH:35][C@@H:36]([CH2:37][CH:38]([CH3:39])[CH3:40])[CH:41]([OH:42])[C:43](=[O:44])[O:45][CH3:46]
US04777165,,C1COCCO1.CC(=O)[O-].C[OH:28].O.O=C1CCC(=O)N1[Br:26].O=S([O-])[O-].[CH3:1][C:2](=[O:3])[O:4][C@:5]1([C:6]([CH3:7])=[O:8])[C@@H:9]([CH3:10])[CH2:11][C@H:12]2[C@@H:13]3[CH2:14][C@H:15]([CH3:16])[C:17]4=[CH:18][C:19](=[O:20])[CH2:21][CH2:22][C@:23]4([CH3:24])[C:25]3=[CH:27][CH2:29][C@:30]12[CH3:31].[Na+].[Na+].[Na+].[O-][Cl+3]([O-])([O-])O>>[CH3:1][C:2](=[O:3])[O:4][C@:5]1([C:6]([CH3:7])=[O:8])[C@@H:9]([CH3:10])[CH2:11][C@H:12]2[C@@H:13]3[CH2:14][C@H:15]([CH3:16])[C:17]4=[CH:18][C:19](=[O:20])[CH2:21][CH2:22][C@:23]4([CH3:24])[C@@:25]3([Br:26])[C@@H:27]([OH:28])[CH2:29][C@:30]12[CH3:31]
US09108981B2,,CC#N.O.[I-].[Na+].[O:1]=[C:2]([CH2:3][CH2:4][I:5])[c:6]1[c:7]([F:8])[cH:9][cH:10][c:11]([Cl:12])[c:13]1[F:14]>>[OH:1][C@H:2]([CH2:3][CH2:4][I:5])[c:6]1[c:7]([F:8])[cH:9][cH:10][c:11]([Cl:12])[c:13]1[F:14]
US08445684B2,,CN(C)C=O.Cl[CH2:26][c:25]1[cH:24][cH:23][cH:22][c:21]([CH2:20][CH2:19][c:18]2[cH:17][n:16][cH:15][c:14]([O:13][CH2:12][C@H:11]3[N:8]([C:6]([O:5][C:2]([CH3:1])([CH3:3])[CH3:4])=[O:7])[CH2:9][CH2:10]3)[cH:31]2)[cH:30]1.[N-:27]=[N+:28]=[N-:29].[Na+]>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[N:8]1[CH2:9][CH2:10][C@H:11]1[CH2:12][O:13][c:14]1[cH:15][n:16][cH:17][c:18]([CH2:19][CH2:20][c:21]2[cH:22][cH:23][cH:24][c:25]([CH2:26][N:27]=[N+:28]=[N-:29])[cH:30]2)[cH:31]1
US07635699B2,,CCN(CC)CC.C[c:22]1[c:16](-[c:15]2[n:14]3[cH:13][c:12]([S:9](Cl)(=[O:10])=[O:11])[n:31][c:30]3[n:29][c:27]([CH3:28])[c:24]2[C:25]#[N:26])[cH:17][cH:18][c:19]([Cl:20])[cH:21]1.ClC[Cl:23].[CH3:1][C:2](=[O:3])[NH:4][C@H:5]1[CH2:6][CH2:7][NH:8][CH2:32]1>>[CH3:1][C:2](=[O:3])[NH:4][C@H:5]1[CH2:6][CH2:7][N:8]([S:9](=[O:10])(=[O:11])[c:12]2[cH:13][n:14]3[c:15](-[c:16]4[cH:17][cH:18][c:19]([Cl:20])[cH:21][c:22]4[Cl:23])[c:24]([C:25]#[N:26])[c:27]([CH3:28])[n:29][c:30]3[n:31]2)[CH2:32]1
US09024019B2,,CCN(CC)CC.Cl/[C:12]([C:11]1=[N:19][N:20]([C:21](=[O:22])[O:23][C:24]([CH3:25])([CH3:26])[CH3:27])[C:28](=[O:29])[N:9]([NH:8][C:6]([O:5][C:2]([CH3:1])([CH3:3])[CH3:4])=[O:7])[CH2:10]1)=[N:13]\[OH:14].ClC(Cl)Cl.[C:15]([CH3:16])([CH3:17])=[CH2:18]>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[NH:8][N:9]1[CH2:10][C:11]([C:12]2=[N:13][O:14][C:15]([CH3:16])([CH3:17])[CH2:18]2)=[N:19][N:20]([C:21](=[O:22])[O:23][C:24]([CH3:25])([CH3:26])[CH3:27])[C:28]1=[O:29]
US09388189B2,,Br[c:11]1[cH:12][n:13]([CH2:14][O:15][CH2:16][CH2:17][Si:18]([CH3:19])([CH3:20])[CH3:21])[c:22]2[n:23][cH:24][n:25][c:26]([NH:27][C@@H:28]([CH3:29])[c:30]3[n:31][n:32]4[cH:33][cH:34][c:35]([CH3:36])[c:37]4[c:38](=[O:39])[n:40]3-[c:41]3[cH:42][cH:43][cH:44][cH:45][cH:46]3)[c:47]12.CC1(C)OB([c:10]2[cH:9][cH:8][cH:7][c:6](-[c:5]3[n:4][n:3][c:2]([CH3:1])[o:49]3)[cH:48]2)OC1(C)C.O=C([O-])[O-].[Na+].[Na+].c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1>>[CH3:1][c:2]1[n:3][n:4][c:5](-[c:6]2[cH:7][cH:8][cH:9][c:10](-[c:11]3[cH:12][n:13]([CH2:14][O:15][CH2:16][CH2:17][Si:18]([CH3:19])([CH3:20])[CH3:21])[c:22]4[n:23][cH:24][n:25][c:26]([NH:27][C@@H:28]([CH3:29])[c:30]5[n:31][n:32]6[cH:33][cH:34][c:35]([CH3:36])[c:37]6[c:38](=[O:39])[n:40]5-[c:41]5[cH:42][cH:43][cH:44][cH:45][cH:46]5)[c:47]34)[cH:48]2)[o:49]1
US08697725B2,,CC(=O)O.CC(=O)OI1(OC(C)=O)(OC(C)=O)OC(=O)c2ccccc21.CC(=O)O[BH-](OC(C)=O)OC(C)=O.ClCCl.O.O=C([O-])O.O=C([O-])[O-].O[CH2:13][c:12]1[n:11][cH:10][n:9](-[c:8]2[cH:7][cH:6][c:5]3[c:20]([cH:19]2)[C@H:21]([NH:22][C:23](=[O:24])[O:25][CH:26]([CH3:27])[CH3:28])[CH2:29][C@H:30]([CH3:31])[N:4]3[C:2]([CH3:1])=[O:3])[cH:18]1.[K+].[K+].[NH2:14][CH2:15][CH2:16][OH:17].[Na+].[Na+]>>[CH3:1][C:2](=[O:3])[N:4]1[c:5]2[cH:6][cH:7][c:8](-[n:9]3[cH:10][n:11][c:12]([CH2:13][NH:14][CH2:15][CH2:16][OH:17])[cH:18]3)[cH:19][c:20]2[C@H:21]([NH:22][C:23](=[O:24])[O:25][CH:26]([CH3:27])[CH3:28])[CH2:29][C@@H:30]1[CH3:31]
US07745475B2,,CCN(C(C)C)C(C)C.CN(C)C=O.O[C:25]([c:24]1[cH:23][c:8]([O:9][c:10]2[cH:11][cH:12][c:13]([C:14](=[O:15])[N:16]3[CH2:17][CH2:18][CH2:19]3)[cH:20][c:21]2[F:22])[cH:7][c:6]([O:5][C@@H:2]([CH3:1])[CH2:3][OH:4])[cH:34]1)=[O:26].[NH2:27][c:28]1[cH:29][cH:30][n:31]([CH3:32])[n:33]1>>[CH3:1][C@@H:2]([CH2:3][OH:4])[O:5][c:6]1[cH:7][c:8]([O:9][c:10]2[cH:11][cH:12][c:13]([C:14](=[O:15])[N:16]3[CH2:17][CH2:18][CH2:19]3)[cH:20][c:21]2[F:22])[cH:23][c:24]([C:25](=[O:26])[NH:27][c:28]2[cH:29][cH:30][n:31]([CH3:32])[n:33]2)[cH:34]1
US06353006B1,,Br[CH2:21][CH:22]1[CH2:23][CH2:24][CH2:25]1.[CH3:1][c:2]1[cH:3][c:4]([N+:5](=[O:6])[O-:7])[cH:8][cH:9][c:10]1[N:11]=[C:12]1[S:13][CH2:14][C@H:15]([CH2:16][CH:17]([CH3:18])[CH3:19])[NH:20]1>>[CH3:1][c:2]1[cH:3][c:4]([N+:5](=[O:6])[O-:7])[cH:8][cH:9][c:10]1[N:11]=[C:12]1[S:13][CH2:14][C@H:15]([CH2:16][CH:17]([CH3:18])[CH3:19])[N:20]1[CH2:21][CH:22]1[CH2:23][CH2:24][CH2:25]1
